ahv_id,timestamp_utc,building_identification_number,status,residence_within_200_feet,enclosed_building_work,full_or_partial_demolition,crane_use,requested_for_date_ranges,apply_reason,work_description,the_geom,house_number,street_name,zip_code
893859,2019-07-02T00:00:04.712676,1013491.0,PAYMENT PROCESSING UNDERWAY,True,False,True,False,"{""06/29/2019"": [""7:00 AM"", ""5:00 PM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,DEMOLITION,POINT (-73.99562543129835 40.749531688223506),397,8 AVE,10001.0
893859,2019-07-02T00:00:04.712676,1013491.0,PAYMENT PROCESSING UNDERWAY,True,False,True,False,"{""06/29/2019"": [""7:00 AM"", ""5:00 PM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,DEMOLITION,POINT (-73.9955684305675 40.74960177360983),399,8 AVE,10001.0
893859,2019-07-02T00:00:04.712676,1013491.0,PAYMENT PROCESSING UNDERWAY,True,False,True,False,"{""06/29/2019"": [""7:00 AM"", ""5:00 PM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,DEMOLITION,POINT (-73.99552961510791 40.749655066354464),401,8 AVE,10001.0
893859,2019-07-02T00:00:04.712676,1013491.0,PAYMENT PROCESSING UNDERWAY,True,False,True,False,"{""06/29/2019"": [""7:00 AM"", ""5:00 PM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,DEMOLITION,POINT (-73.99567216392217 40.749717742646766),300,W  30 ST,10001.0
893860,2019-07-02T00:00:05.548316,3424141.0,AHV DENIED,True,False,False,False,"{""06/27/2019"": [""6:00 PM"", ""8:00 PM""], ""06/28/2019"": [""6:00 PM"", ""8:00 PM""], ""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""07/01/2019"": [""6:00 PM"", ""8:00 PM""], ""07/02/2019"": [""6:00 PM"", ""8:00 PM""], ""07/03/2019"": [""6:00 PM"", ""8:00 PM""]}",PUBLIC SAFETY,"CARPENTRY FRAMING , MASONRY BLOCK.",,,,
893861,2019-07-02T00:00:06.467989,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 PM"", ""12:00 AM""], ""07/02/2019"": [""6:00 PM"", ""12:00 AM""], ""07/03/2019"": [""6:00 PM"", ""12:00 AM""], ""07/04/2019"": [""6:00 PM"", ""12:00 AM""], ""07/05/2019"": [""6:00 PM"", ""12:00 AM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.97553001350488 40.751914820840625),405,LEXINGTON AVE,10017.0
893861,2019-07-02T00:00:06.467989,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 PM"", ""12:00 AM""], ""07/02/2019"": [""6:00 PM"", ""12:00 AM""], ""07/03/2019"": [""6:00 PM"", ""12:00 AM""], ""07/04/2019"": [""6:00 PM"", ""12:00 AM""], ""07/05/2019"": [""6:00 PM"", ""12:00 AM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.97557887545692 40.75141338128885),135,E  42 ST,10017.0
893861,2019-07-02T00:00:06.467989,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 PM"", ""12:00 AM""], ""07/02/2019"": [""6:00 PM"", ""12:00 AM""], ""07/03/2019"": [""6:00 PM"", ""12:00 AM""], ""07/04/2019"": [""6:00 PM"", ""12:00 AM""], ""07/05/2019"": [""6:00 PM"", ""12:00 AM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.97487884017984 40.751714763268595),132,E  43 ST,10017.0
893861,2019-07-02T00:00:06.467989,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 PM"", ""12:00 AM""], ""07/02/2019"": [""6:00 PM"", ""12:00 AM""], ""07/03/2019"": [""6:00 PM"", ""12:00 AM""], ""07/04/2019"": [""6:00 PM"", ""12:00 AM""], ""07/05/2019"": [""6:00 PM"", ""12:00 AM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.9754256051627 40.751351992601045),139,E  42 ST,10017.0
893861,2019-07-02T00:00:06.467989,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 PM"", ""12:00 AM""], ""07/02/2019"": [""6:00 PM"", ""12:00 AM""], ""07/03/2019"": [""6:00 PM"", ""12:00 AM""], ""07/04/2019"": [""6:00 PM"", ""12:00 AM""], ""07/05/2019"": [""6:00 PM"", ""12:00 AM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.9750061254309 40.75176855727675),134,E  43 ST,10017.0
893861,2019-07-02T00:00:06.467989,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 PM"", ""12:00 AM""], ""07/02/2019"": [""6:00 PM"", ""12:00 AM""], ""07/03/2019"": [""6:00 PM"", ""12:00 AM""], ""07/04/2019"": [""6:00 PM"", ""12:00 AM""], ""07/05/2019"": [""6:00 PM"", ""12:00 AM""], ""07/06/2019"": [""7:00 AM"", ""5:00 PM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.97534021296985 40.75190974922113),136,E  43 ST,10017.0
893862,2019-07-02T00:00:07.178698,1090462.0,AHV SUCCESSFULLY ISSUED,True,False,False,True,"{""06/29/2019"": [""8:00 AM"", ""5:00 PM""], ""07/06/2019"": [""8:00 AM"", ""5:00 PM""]}",HAZARDOUS CONDITIONS,"LAYOUT, FORMWORK, REBAR, PLACEMENT OF CONCRETE, USE OF CRANE(CN#1305/18), INSTALLATION OF SIDEWALK BRIDGE (M00105735), EXCAVATION FOR UTILITIES, INSTALLATION OF HOIST. noteF: subject to PSWO",,,,
893863,2019-07-02T00:00:07.905276,2128441.0,PAYMENT PROCESSING UNDERWAY,True,False,False,True,"{""06/29/2019"": [""10:00 AM"", ""6:00 PM""], ""07/06/2019"": [""10:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"MASONRY,SCAFFOLD, ROOFING,MISC.STEEL, SPRAY ON FREPRFING, CRPTRY&DRYWALL, PLBING,SPRKLER, ELECTRIC, HVAC HOIST WRK, NETTING MAINTENANCE,SITE UTILITY WRK,CRN WRK SETTING PLANK &GROUTING PLANK CN # 1042 17  CDS 4913 4362 4145 4332 4086 4775",POINT (-73.85570863151966 40.833613120744374),2044,WESTCHESTER AVE,10462.0
893864,2019-07-02T00:00:08.607543,2128441.0,AHV SUCCESSFULLY ISSUED,True,False,False,True,"{""06/29/2019"": [""10:00 AM"", ""6:00 PM""], ""07/06/2019"": [""10:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"MASONRY,SCAFFOLD, ROOFING,MISC.STEEL, SPRAY ON FREPRFING, CRPTRY&DRYWALL, PLBING,SPRKLER, ELECTRIC, HVAC HOIST WRK, NETTING MAINTENANCE,SITE UTILITY WRK,CRN WRK SETTING PLANK &GROUTING PLANK CN # 1042 17  CDS 4913 4362 4145 4332 4086 4775",POINT (-73.85570863151966 40.833613120744374),2044,WESTCHESTER AVE,10462.0
893865,2019-07-02T00:00:09.317160,1058019.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/30/2019"": [""9:00 AM"", ""5:00 PM""], ""07/07/2019"": [""9:00 AM"", ""5:00 PM""]}",HAZARDOUS CONDITIONS,FACADE RESTORATION ON BASEMENT LEVEL,POINT (-73.94435032762378 40.811315643499206),126,W  130 ST,10027.0
893866,2019-07-02T00:00:12.270925,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 AM"", ""7:00 AM""], ""07/02/2019"": [""6:00 AM"", ""7:00 AM""], ""07/03/2019"": [""6:00 AM"", ""7:00 AM""], ""07/04/2019"": [""6:00 AM"", ""7:00 AM""], ""07/05/2019"": [""6:00 AM"", ""7:00 AM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.97553001350488 40.751914820840625),405,LEXINGTON AVE,10017.0
893866,2019-07-02T00:00:12.270925,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 AM"", ""7:00 AM""], ""07/02/2019"": [""6:00 AM"", ""7:00 AM""], ""07/03/2019"": [""6:00 AM"", ""7:00 AM""], ""07/04/2019"": [""6:00 AM"", ""7:00 AM""], ""07/05/2019"": [""6:00 AM"", ""7:00 AM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.97557887545692 40.75141338128885),135,E  42 ST,10017.0
893866,2019-07-02T00:00:12.270925,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 AM"", ""7:00 AM""], ""07/02/2019"": [""6:00 AM"", ""7:00 AM""], ""07/03/2019"": [""6:00 AM"", ""7:00 AM""], ""07/04/2019"": [""6:00 AM"", ""7:00 AM""], ""07/05/2019"": [""6:00 AM"", ""7:00 AM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.97487884017984 40.751714763268595),132,E  43 ST,10017.0
893866,2019-07-02T00:00:12.270925,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 AM"", ""7:00 AM""], ""07/02/2019"": [""6:00 AM"", ""7:00 AM""], ""07/03/2019"": [""6:00 AM"", ""7:00 AM""], ""07/04/2019"": [""6:00 AM"", ""7:00 AM""], ""07/05/2019"": [""6:00 AM"", ""7:00 AM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.9754256051627 40.751351992601045),139,E  42 ST,10017.0
893866,2019-07-02T00:00:12.270925,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 AM"", ""7:00 AM""], ""07/02/2019"": [""6:00 AM"", ""7:00 AM""], ""07/03/2019"": [""6:00 AM"", ""7:00 AM""], ""07/04/2019"": [""6:00 AM"", ""7:00 AM""], ""07/05/2019"": [""6:00 AM"", ""7:00 AM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.9750061254309 40.75176855727675),134,E  43 ST,10017.0
893866,2019-07-02T00:00:12.270925,1036156.0,AHV SUCCESSFULLY ISSUED,False,True,True,False,"{""07/01/2019"": [""6:00 AM"", ""7:00 AM""], ""07/02/2019"": [""6:00 AM"", ""7:00 AM""], ""07/03/2019"": [""6:00 AM"", ""7:00 AM""], ""07/04/2019"": [""6:00 AM"", ""7:00 AM""], ""07/05/2019"": [""6:00 AM"", ""7:00 AM""]}",HAZARDOUS CONDITIONS,REMOVAL OF NON-BEARING PARTITIONS AND RELATED FINISHES,POINT (-73.97534021296985 40.75190974922113),136,E  43 ST,10017.0
893867,2019-07-02T00:00:13.013122,1024836.0,PAYMENT PROCESSING UNDERWAY,True,False,True,False,"{""06/29/2019"": [""7:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"MATERIAL DELIVERIES, CARPENTRY, HVAC, MINOR DEMO, GENERAL CLEANUP WORK AND GENERAL FINISHES.  NO CORING OR PACKER BEFORE 9 AM",POINT (-73.98239977407114 40.763341822849654),1700,BROADWAY,10019.0
893868,2019-07-02T00:00:13.740396,1017813.0,AHV DENIED,False,True,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""06/30/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""], ""07/07/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"GENERAL MECHANICAL ALTERATION ON THE 11TH FLOOR. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",POINT (-73.98781485030854 40.735042446341396),30,IRVING PL,10003.0
893868,2019-07-02T00:00:13.740396,1017813.0,AHV DENIED,False,True,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""06/30/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""], ""07/07/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"GENERAL MECHANICAL ALTERATION ON THE 11TH FLOOR. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",POINT (-73.98775951301667 40.73511972930672),34,IRVING PL,10003.0
893868,2019-07-02T00:00:13.740396,1017813.0,AHV DENIED,False,True,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""06/30/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""], ""07/07/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"GENERAL MECHANICAL ALTERATION ON THE 11TH FLOOR. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",POINT (-73.9876358611129 40.73511598880091),124,E  16 ST,10003.0
893869,2019-07-02T00:00:14.448375,1090462.0,AHV SUCCESSFULLY ISSUED,True,False,False,True,"{""07/01/2019"": [""6:00 PM"", ""11:00 PM""], ""07/02/2019"": [""6:00 PM"", ""11:00 PM""], ""07/03/2019"": [""6:00 PM"", ""11:00 PM""], ""07/04/2019"": [""6:00 PM"", ""11:00 PM""], ""07/05/2019"": [""6:00 PM"", ""11:00 PM""], ""07/08/2019"": [""6:00 PM"", ""11:00 PM""], ""07/09/2019"": [""6:00 PM"", ""11:00 PM""], ""07/10/2019"": [""6:00 PM"", ""11:00 PM""], ""07/11/2019"": [""6:00 PM"", ""11:00 PM""], ""07/12/2019"": [""6:00 PM"", ""11:00 PM""]}",HAZARDOUS CONDITIONS,"LAYOUT, FORMWORK, REBAR, PLACEMENT OF CONCRETE, USE OF CRANE(CN#1305/18), INSTALLATION OF SIDEWALK BRIDGE (M00105735), EXCAVATION FOR UTILITIES, INSTALLATION OF HOIST. note: subject to PSWO",,,,
893870,2019-07-02T00:00:15.150249,4025257.0,PAYMENT PROCESSING UNDERWAY,True,False,False,False,"{""07/01/2019"": [""6:00 AM"", ""11:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"EXCAVATION, SUPERSTRUCTURE AND FOUNDATION WORK",POINT (-73.90519271221778 40.75709775943875),56-02,31 AVE,11377.0
893871,2019-07-02T00:00:15.928950,1043853.0,PAYMENT PROCESSING UNDERWAY,True,False,False,True,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"HVAC ROUGHING, ELECTRICAL ROUGHING, PLUMBING ROUGHING, FRAMING, DRYWALL, TAPING, WATERPROOFING EXTERIOR , TILE WORK, CONCRETE PATCH WORK, FORM WORK & FORM WORK STRIPPING MASONRY, CRANE OPERATIONS AND RIGGING - CD NUMBER 4589 / CN NUMBER 121",POINT (-73.96477256036235 40.763732954161306),1059,3 AVE,10065.0
893872,2019-07-02T00:00:17.713041,1017813.0,AHV DENIED,False,True,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""06/30/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""], ""07/07/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,GENERAL INTERIOR RENOVATIONS ON THE 11TH FLOOR. NO CHANGE TO USE EGRESS OR OCCUPANCY.,POINT (-73.98781485030854 40.735042446341396),30,IRVING PL,10003.0
893872,2019-07-02T00:00:17.713041,1017813.0,AHV DENIED,False,True,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""06/30/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""], ""07/07/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,GENERAL INTERIOR RENOVATIONS ON THE 11TH FLOOR. NO CHANGE TO USE EGRESS OR OCCUPANCY.,POINT (-73.98775951301667 40.73511972930672),34,IRVING PL,10003.0
893872,2019-07-02T00:00:17.713041,1017813.0,AHV DENIED,False,True,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""06/30/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""], ""07/07/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,GENERAL INTERIOR RENOVATIONS ON THE 11TH FLOOR. NO CHANGE TO USE EGRESS OR OCCUPANCY.,POINT (-73.9876358611129 40.73511598880091),124,E  16 ST,10003.0
893873,2019-07-02T00:00:19.515940,1016935.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/27/2019"": [""6:00 PM"", ""2:00 AM""], ""06/28/2019"": [""6:00 PM"", ""2:00 AM""], ""07/01/2019"": [""6:00 PM"", ""2:00 AM""], ""07/02/2019"": [""6:00 PM"", ""2:00 AM""]}",HAZARDOUS CONDITIONS,"ELECTRICAL (M00176563-I1-EL), MECHANICAL, CARPENTRY, MILLWORK, FLOORING",POINT (-73.98348348773814 40.744456977400944),440,PARK AVE S,10016.0
893873,2019-07-02T00:00:19.515940,1016935.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/27/2019"": [""6:00 PM"", ""2:00 AM""], ""06/28/2019"": [""6:00 PM"", ""2:00 AM""], ""07/01/2019"": [""6:00 PM"", ""2:00 AM""], ""07/02/2019"": [""6:00 PM"", ""2:00 AM""]}",HAZARDOUS CONDITIONS,"ELECTRICAL (M00176563-I1-EL), MECHANICAL, CARPENTRY, MILLWORK, FLOORING",POINT (-73.98355582401638 40.744613745904545),50,E  30 ST,10016.0
893873,2019-07-02T00:00:19.515940,1016935.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/27/2019"": [""6:00 PM"", ""2:00 AM""], ""06/28/2019"": [""6:00 PM"", ""2:00 AM""], ""07/01/2019"": [""6:00 PM"", ""2:00 AM""], ""07/02/2019"": [""6:00 PM"", ""2:00 AM""]}",HAZARDOUS CONDITIONS,"ELECTRICAL (M00176563-I1-EL), MECHANICAL, CARPENTRY, MILLWORK, FLOORING",POINT (-73.98367120640172 40.74466513306764),46,E  30 ST,10016.0
893874,2019-07-02T00:00:20.245813,1089905.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/27/2019"": [""6:00 AM"", ""7:00 AM""], ""06/28/2019"": [""6:00 AM"", ""7:00 AM""], ""07/01/2019"": [""6:00 AM"", ""7:00 AM""], ""07/02/2019"": [""6:00 AM"", ""7:00 AM""], ""07/03/2019"": [""6:00 AM"", ""7:00 AM""], ""07/04/2019"": [""6:00 AM"", ""7:00 AM""], ""07/05/2019"": [""6:00 AM"", ""7:00 AM""], ""07/08/2019"": [""6:00 AM"", ""7:00 AM""], ""07/09/2019"": [""6:00 AM"", ""7:00 AM""], ""07/10/2019"": [""6:00 AM"", ""7:00 AM""]}",PUBLIC SAFETY,"TRUCKING OF SOIL, LOADING TRUCKS, EXCAVATION, CONCRETE, REBAR, WATERPROOFING, FORMWORK",,,,
893875,2019-07-02T00:00:24.660543,3418382.0,PAYMENT PROCESSING UNDERWAY,True,False,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"CONCRETE, MASONRY, FRAMING,INTERIOR WORK, ELECTRICAL, PLUMBING",,,,
893876,2019-07-02T00:00:25.417539,3425091.0,PAYMENT PROCESSING UNDERWAY,True,False,False,True,"{""07/01/2019"": [""6:00 PM"", ""9:00 PM""], ""07/02/2019"": [""6:00 PM"", ""9:00 PM""], ""07/03/2019"": [""6:00 PM"", ""9:00 PM""], ""07/04/2019"": [""6:00 PM"", ""9:00 PM""], ""07/05/2019"": [""6:00 PM"", ""9:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""], ""07/08/2019"": [""6:00 PM"", ""9:00 PM""], ""07/09/2019"": [""6:00 PM"", ""9:00 PM""], ""07/10/2019"": [""6:00 PM"", ""9:00 PM""], ""07/11/2019"": [""6:00 PM"", ""9:00 PM""], ""07/12/2019"": [""6:00 PM"", ""9:00 PM""], ""07/13/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"USE OF CRANES(CN 1045/18,CN1074/18),CNCRETE OPS,MEP INST,DELIVERIES, HOUSEKEEPING,GENERAL SAFETY,SURVEYING,INST/MAINTAIN FN&SHED B00105174, CARTING,EXCAVTION,REMVAL OF SOE,WTERPROOFING,CNCRETE PUMP SET UP,REFUELING,USE OF BUCKLE BOOM TRUCK.",,,,
893877,2019-07-02T00:00:26.186884,3424477.0,AHV SUCCESSFULLY ISSUED,True,False,True,True,"{""06/27/2019"": [""6:00 AM"", ""7:00 AM""], ""06/28/2019"": [""6:00 AM"", ""7:00 AM""], ""07/01/2019"": [""6:00 AM"", ""7:00 AM""], ""07/02/2019"": [""6:00 AM"", ""7:00 AM""], ""07/03/2019"": [""6:00 AM"", ""7:00 AM""], ""07/04/2019"": [""6:00 AM"", ""7:00 AM""], ""07/05/2019"": [""6:00 AM"", ""7:00 AM""], ""07/08/2019"": [""6:00 AM"", ""7:00 AM""], ""07/09/2019"": [""6:00 AM"", ""7:00 AM""], ""07/10/2019"": [""6:00 AM"", ""7:00 AM""]}",PUBLIC SAFETY,"SUPERSTRUCTURE WORK IN CONJUNCTION WITH THE NEW BUILDING PERMIT, CRANE USE(CN 0692 18)",,,,
893878,2019-07-02T00:00:28.014632,3425091.0,PAYMENT PROCESSING UNDERWAY,True,False,False,True,"{""07/01/2019"": [""6:00 PM"", ""9:00 PM""], ""07/02/2019"": [""6:00 PM"", ""9:00 PM""], ""07/03/2019"": [""6:00 PM"", ""9:00 PM""], ""07/04/2019"": [""6:00 PM"", ""9:00 PM""], ""07/05/2019"": [""6:00 PM"", ""9:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""], ""07/08/2019"": [""6:00 PM"", ""9:00 PM""], ""07/09/2019"": [""6:00 PM"", ""9:00 PM""], ""07/10/2019"": [""6:00 PM"", ""9:00 PM""], ""07/11/2019"": [""6:00 PM"", ""9:00 PM""], ""07/12/2019"": [""6:00 PM"", ""9:00 PM""], ""07/13/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"USE OF CRANES(CN 1045/18,CN1074/18),CNCRETE OPS,MEP INST,DELIVERIES, HOUSEKEEPING,GENERAL SAFETY,SURVEYING,INST/MAINTAIN FN&SHED B00105174, CARTING,EXCAVTION,REMVAL OF SOE,WTERPROOFING,CNCRETE PUMP SET UP,REFUELING,USE OF BUCKLE BOOM TRUCK.",,,,
893879,2019-07-02T00:00:28.794574,1034185.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/29/2019"": [""10:00 AM"", ""4:00 PM""]}",HAZARDOUS CONDITIONS,"GENERAL CONSTRUCTION WITH MINIMAL NOISE IMPACT.RENOVATIONS AS PER DRAWINGS.CERTIFY NOISE MITIGATION PLAN PER TITLE 24, SECTION 223 OF GENERAL CITY LAW. COMPLY WITH 1RCNY,TITLE 15, CH. 30. UPDATED TPP1,SCAN CODE ESHS1533509 ON VIRTUAL FOLDER. note: subject to PVacate",POINT (-73.97530819942098 40.79515307934424),336,W  95 ST,10025.0
893880,2019-07-02T00:00:29.529910,3425091.0,PAYMENT PROCESSING UNDERWAY,True,False,False,True,"{""07/01/2019"": [""6:00 PM"", ""9:00 PM""], ""07/02/2019"": [""6:00 PM"", ""9:00 PM""], ""07/03/2019"": [""6:00 PM"", ""9:00 PM""], ""07/04/2019"": [""6:00 PM"", ""9:00 PM""], ""07/05/2019"": [""6:00 PM"", ""9:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""], ""07/08/2019"": [""6:00 PM"", ""9:00 PM""], ""07/09/2019"": [""6:00 PM"", ""9:00 PM""], ""07/10/2019"": [""6:00 PM"", ""9:00 PM""], ""07/11/2019"": [""6:00 PM"", ""9:00 PM""], ""07/12/2019"": [""6:00 PM"", ""9:00 PM""], ""07/13/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"USE OF CRANES(CN 1045/18,CN1074/18),CNCRETE OPS,MEP INST,DELIVERIES, HOUSEKEEPING,GENERAL SAFETY,SURVEYING,INST/MAINTAIN FN&SHED B00105174, CARTING,EXCAVTION,REMVAL OF SOE,WTERPROOFING,CNCRETE PUMP SET UP,REFUELING,USE OF BUCKLE BOOM TRUCK.",,,,
893881,2019-07-02T00:00:30.253812,1005993.0,PAYMENT PROCESSING UNDERWAY,True,True,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""]}",UNDUE HARDSHIP,"FRAMING, SHEETROCK AND PLUMBING ROUGH",POINT (-73.98147562123239 40.72987632154544),442,E  13 ST,10009.0
893882,2019-07-02T00:00:31.008339,1024836.0,PAYMENT PROCESSING UNDERWAY,True,False,True,False,"{""06/29/2019"": [""7:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"MATERIAL DELIVERIES, CARPENTRY, HVAC, MINOR DEMO, GENERAL CLEANUP WORK AND GENERAL FINISHES.  NO CORING OR PACKER BEFORE 9 AM",POINT (-73.98239977407114 40.763341822849654),1700,BROADWAY,10019.0
893883,2019-07-02T00:00:31.771758,3051641.0,PAYMENT PROCESSING UNDERWAY,True,False,True,False,"{""06/25/2019"": [""6:00 PM"", ""12:00 AM""], ""07/01/2019"": [""6:00 PM"", ""12:00 AM""], ""07/02/2019"": [""6:00 PM"", ""12:00 AM""]}",CITY CONSTRUCTION PROJECT,INSTALLATION OF TEMPORARY CONSTRUCTION EQUIPMENT SCAFFOLD AND SIDEWALK SHED,POINT (-73.94727096908338 40.684709399242344),832,MARCY AVE,11216.0
893884,2019-07-02T00:00:32.510376,1005993.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""]}",HAZARDOUS CONDITIONS,"FRAMING, SHEETROCK. note: subject to FSWO",POINT (-73.98147562123239 40.72987632154544),442,E  13 ST,10009.0
893885,2019-07-02T00:00:33.301742,5049717.0,BORO APPROVED -- FINAL FEE DUE,True,False,False,False,"{""06/29/2019"": [""7:00 AM"", ""5:00 PM""]}",OTHER,CONCRETE OPERATIONS,POINT (-74.08561107349503 40.58451705359312),475,SEAVIEW AVE,10305.0
893886,2019-07-02T00:00:35.309172,1024895.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/29/2019"": [""7:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,PLUMBING AND ELECTRICAL WORK; RELATED WORK AS PER APPROVED PLANS.,POINT (-73.98060831481305 40.76512646676486),888,7 AVE,10106.0
